INDIR,FOLDER,IN FILE,DURATION,DATE,TIME,HOUR,DATE-12,TIME-12,HOUR-12,LATITUDE,LONGITUDE,MODEL,SERIAL NO,FIRMWARE,PREFIX,NOTES,AUTO ID,PULSES,MATCHING,MATCH RATIO,MARGIN,FILES,MANUAL ID,ORGID,USERID,REVIEW ORGID,REVIEW USERID,INPATHMD5
C:\Users\AnthonyGibbons\OneDrive - Peroptyx\Documents\GitHub\Personal_Projects\bird_detection_audio\birds,Common Moorhen,xc534750.wav,8.911354,,,,,,,,,,,,,,,,,,,1,,,,,,M89WcEexfg4hnS1EKnvjXQ==
C:\Users\AnthonyGibbons\OneDrive - Peroptyx\Documents\GitHub\Personal_Projects\bird_detection_audio\birds,Marsh Tit,xc448675.wav,55.843124,,,,,,,,,,,,,,,,,,,1,,,,,,2cNGlGqwohpQ/srr1EFghg==
C:\Users\AnthonyGibbons\OneDrive - Peroptyx\Documents\GitHub\Personal_Projects\bird_detection_audio\birds,Eurasian Oystercatcher,xc426048.wav,21.498775,,,,,,,,,,,,,,,,,,,1,,,,,,tFZhCpCmxq4HpYPkyqw0xQ==
C:\Users\AnthonyGibbons\OneDrive - Peroptyx\Documents\GitHub\Personal_Projects\bird_detection_audio\birds,Eurasian Oystercatcher,xc240495.wav,36.216,,,,,,,,,,,,,,,,,,,1,,,,,,Zfnz5bTuOSzt+qD+7lo9IQ==
C:\Users\AnthonyGibbons\OneDrive - Peroptyx\Documents\GitHub\Personal_Projects\bird_detection_audio\birds,European Nightjar,xc481986.wav,76.769974,,,,,,,,,,,,,,,,,,,1,,,,,,wYoyc7npRtF9ee3sA+bXWA==
C:\Users\AnthonyGibbons\OneDrive - Peroptyx\Documents\GitHub\Personal_Projects\bird_detection_audio\birds,Eurasian Oystercatcher,xc254912.wav,11.62381,,,,,,,,,,,,,,,,,,,1,,,,,,soFyG25Vt9PrzSoHoHAtnA==
C:\Users\AnthonyGibbons\OneDrive - Peroptyx\Documents\GitHub\Personal_Projects\bird_detection_audio\birds,Common Moorhen,xc26789.wav,166.452011,,,,,,,,,,,,,,,,,,,1,,,,,,KSmH1W5tK+Z4xHEGaf/7RQ==
C:\Users\AnthonyGibbons\OneDrive - Peroptyx\Documents\GitHub\Personal_Projects\bird_detection_audio\birds,Common Moorhen,xc538710.wav,38.034286,,,,,,,,,,,,,,,,,,,1,,,,,,T6HdaCi7Ou76d/yEXA7Ixg==
C:\Users\AnthonyGibbons\OneDrive - Peroptyx\Documents\GitHub\Personal_Projects\bird_detection_audio\birds,Marsh Tit,xc553497.wav,42.053196,,,,,,,,,,,,,,,,,,,1,,,,,,bbuG6+bRwJ13Z5bL0ggjNg==
C:\Users\AnthonyGibbons\OneDrive - Peroptyx\Documents\GitHub\Personal_Projects\bird_detection_audio\birds,Common Moorhen,xc539273.wav,5.152766,,,,,,,,,,,,,,,,,,,1,,,,,,0KuF4D7bUUTgpkcxcV7hVA==
C:\Users\AnthonyGibbons\OneDrive - Peroptyx\Documents\GitHub\Personal_Projects\bird_detection_audio\birds,Redwing,xc561592.wav,64.416,,,,,,,,,,,,,,,,,,,1,,,,,,F8c/6Kr4Y9mK59OE89WK5Q==
C:\Users\AnthonyGibbons\OneDrive - Peroptyx\Documents\GitHub\Personal_Projects\bird_detection_audio\birds,Marsh Tit,xc450997.wav,45.599998,,,,,,,,,,,,,,,,,,,1,,,,,,/hT+hNIG7rYyoySm+eYGZg==
C:\Users\AnthonyGibbons\OneDrive - Peroptyx\Documents\GitHub\Personal_Projects\bird_detection_audio\birds,Common Moorhen,xc315363.wav,30.816,,,,,,,,,,,,,,,,,,,1,,,,,,LBypOCB6PrFx4GNmTBl+ng==
C:\Users\AnthonyGibbons\OneDrive - Peroptyx\Documents\GitHub\Personal_Projects\bird_detection_audio\birds,Common Moorhen,xc540804.wav,11.912539,,,,,,,,,,,,,,,,,,,1,,,,,,2WtU5cFSfOkRIDIlMWO0Cw==
C:\Users\AnthonyGibbons\OneDrive - Peroptyx\Documents\GitHub\Personal_Projects\bird_detection_audio\birds,Common Moorhen,xc540932.wav,8.254694,,,,,,,,,,,,,,,,,,,1,,,,,,nb+VpTjvE7DAXH2OesQnag==
C:\Users\AnthonyGibbons\OneDrive - Peroptyx\Documents\GitHub\Personal_Projects\bird_detection_audio\birds,Redwing,xc565822.wav,5.041633,,,,,,,,,,,,,,,,,,,1,,,,,,y/DMCsZ/RXEoxgz659ytag==
C:\Users\AnthonyGibbons\OneDrive - Peroptyx\Documents\GitHub\Personal_Projects\bird_detection_audio\birds,Eurasian Oystercatcher,xc25754.wav,38.321632,,,,,,,,,,,,,,,,,,,1,,,,,,S9t8zlg3pxi/LYEsD7fgGA==
C:\Users\AnthonyGibbons\OneDrive - Peroptyx\Documents\GitHub\Personal_Projects\bird_detection_audio\birds,Common Moorhen,xc330151.wav,19.408979,,,,,,,,,,,,,,,,,,,1,,,,,,+FsFJEaSHsp3IAZklYL7Ig==
C:\Users\AnthonyGibbons\OneDrive - Peroptyx\Documents\GitHub\Personal_Projects\bird_detection_audio\birds,European Nightjar,xc482366.wav,85.047333,,,,,,,,,,,,,,,,,,,1,,,,,,VMgL1l56PNN/O8p5V7ptzg==
C:\Users\AnthonyGibbons\OneDrive - Peroptyx\Documents\GitHub\Personal_Projects\bird_detection_audio\birds,Eurasian Oystercatcher,xc261486.wav,15.96,,,,,,,,,,,,,,,,,,,1,,,,,,uubmcWupKzv3gve1qFWk0w==
C:\Users\AnthonyGibbons\OneDrive - Peroptyx\Documents\GitHub\Personal_Projects\bird_detection_audio\birds,Marsh Tit,xc559277.wav,31.000204,,,,,,,,,,,,,,,,,,,1,,,,,,Hk4TjUiOs/a58UCdVoiPkw==
C:\Users\AnthonyGibbons\OneDrive - Peroptyx\Documents\GitHub\Personal_Projects\bird_detection_audio\birds,European Nightjar,xc482367.wav,59.471001,,,,,,,,,,,,,,,,,,,1,,,,,,xCEG6yeA0lRiPGP+Lklxyw==
C:\Users\AnthonyGibbons\OneDrive - Peroptyx\Documents\GitHub\Personal_Projects\bird_detection_audio\birds,Common Moorhen,xc339599.wav,16.946779,,,,,,,,,,,,,,,,,,,1,,,,,,eNxFERVlUtv+2ENZl4vO5g==
C:\Users\AnthonyGibbons\OneDrive - Peroptyx\Documents\GitHub\Personal_Projects\bird_detection_audio\birds,Eurasian Oystercatcher,xc261489.wav,16.271999,,,,,,,,,,,,,,,,,,,1,,,,,,Ilnp7CG+3vuqWdF/Km0PFA==
C:\Users\AnthonyGibbons\OneDrive - Peroptyx\Documents\GitHub\Personal_Projects\bird_detection_audio\birds,Eurasian Oystercatcher,xc432733.wav,135.03653,,,,,,,,,,,,,,,,,,,1,,,,,,MioPo/dic3uZfXIhnlNQnQ==
C:\Users\AnthonyGibbons\OneDrive - Peroptyx\Documents\GitHub\Personal_Projects\bird_detection_audio\birds,Eurasian Oystercatcher,xc263994.wav,19.252438,,,,,,,,,,,,,,,,,,,1,,,,,,22ku7+8INkH8ac5TEQkBMw==
C:\Users\AnthonyGibbons\OneDrive - Peroptyx\Documents\GitHub\Personal_Projects\bird_detection_audio\birds,European Nightjar,xc482368.wav,60.803001,,,,,,,,,,,,,,,,,,,1,,,,,,LP322DOkyOwxusaZWZCacg==
C:\Users\AnthonyGibbons\OneDrive - Peroptyx\Documents\GitHub\Personal_Projects\bird_detection_audio\birds,Eurasian Oystercatcher,xc433784.wav,27.167347,,,,,,,,,,,,,,,,,,,1,,,,,,zJ08YG87WqPIAOSuAFJLvQ==
C:\Users\AnthonyGibbons\OneDrive - Peroptyx\Documents\GitHub\Personal_Projects\bird_detection_audio\birds,Marsh Tit,xc559280.wav,38.900318,,,,,,,,,,,,,,,,,,,1,,,,,,QEA21s20teDWlmEqkXajAA==
C:\Users\AnthonyGibbons\OneDrive - Peroptyx\Documents\GitHub\Personal_Projects\bird_detection_audio\birds,Marsh Tit,xc453967.wav,60.813061,,,,,,,,,,,,,,,,,,,1,,,,,,T5IXwou00uwtaLlSyrnoDg==
