id,gen,sp,ssp,en,rec,cnt,loc,lat,lng,alt,type,url,file,file-name,sono,lic,q,length,time,date,uploaded,also,rmk,bird-seen,playback-used
592339,Gallinula,chloropus,chloropus,Common Moorhen,Albert Noorlander,Netherlands,"IJsselstein, IJsselstein, Utrecht",52.0148,5.0378,0,nocturnal flight call,//www.xeno-canto.org/592339,//www.xeno-canto.org/592339/download,XC592339-Waterhoen 20201002-01a (NFC 01.29).mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/LIGVVFZJTW/ffts/XC592339-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/LIGVVFZJTW/ffts/XC592339-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/LIGVVFZJTW/ffts/XC592339-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/LIGVVFZJTW/ffts/XC592339-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,B,0:04,01:11,2020-10-02,2020-10-02,[''],,no,no
592119,Gallinula,chloropus,,Common Moorhen,Mark Pearson,United Kingdom,"Flamborough, East Riding of Yorkshire, England",54.1145,-0.1224,50,"call, flight call, nocturnal flight call",//www.xeno-canto.org/592119,//www.xeno-canto.org/592119/download,XC592119-Moorhen FLA 21.09.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/PDMQHRJMYN/ffts/XC592119-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/PDMQHRJMYN/ffts/XC592119-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/PDMQHRJMYN/ffts/XC592119-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/PDMQHRJMYN/ffts/XC592119-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,B,0:05,02:30,2020-09-22,2020-10-01,[''],,no,no
591433,Gallinula,chloropus,,Common Moorhen,Frederik Fluyt,Belgium,"Tombeek Kerkstraat (near  Overijse), Vlaams-Brabant, Vlaanderen",50.7542,4.5672,50,"flight call, nocturnal flight call",//www.xeno-canto.org/591433,//www.xeno-canto.org/591433/download,XC591433-waterhoen270920_Tombeek.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/COJPKBPZLS/ffts/XC591433-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/COJPKBPZLS/ffts/XC591433-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/COJPKBPZLS/ffts/XC591433-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/COJPKBPZLS/ffts/XC591433-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,B,0:06,23:00,2020-09-27,2020-09-28,[''],,no,no
591070,Gallinula,chloropus,chloropus,Common Moorhen,Jarek Matusiak,Poland,"Powiat bełchatowski, województwo łódzkie",51.3626,19.3649,200,"adult, call",//www.xeno-canto.org/591070,//www.xeno-canto.org/591070/download,XC591070-JAREK-MATUSIAK-A-796 (5) kokoszka (2).mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/ZNCDXTUOFL/ffts/XC591070-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/ZNCDXTUOFL/ffts/XC591070-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/ZNCDXTUOFL/ffts/XC591070-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/ZNCDXTUOFL/ffts/XC591070-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,B,0:01,18:00,2020-08-20,2020-09-26,[''],,unknown,unknown
590137,Gallinula,chloropus,,Common Moorhen,Sidney M,Spain,"Alt Camp (near  El Pla de Santa Maria), Tarragona, Catalunya",41.3425,1.2918,320,"call, life stage uncertain, sex uncertain",//www.xeno-canto.org/590137,//www.xeno-canto.org/590137/download,XC590137-21 8.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC590137-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC590137-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC590137-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC590137-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,B,0:03,08:00,2020-09-21,2020-09-21,[''],,no,no
590118,Gallinula,chloropus,chloropus,Common Moorhen,Albert Noorlander,Netherlands,"IJsselstein, IJsselstein, Utrecht",52.0149,5.0378,0,nocturnal flight call,//www.xeno-canto.org/590118,//www.xeno-canto.org/590118/download,XC590118-ID Unknown 20200921-01a (NFC 03.19).mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/LIGVVFZJTW/ffts/XC590118-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/LIGVVFZJTW/ffts/XC590118-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/LIGVVFZJTW/ffts/XC590118-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/LIGVVFZJTW/ffts/XC590118-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,B,0:01,03:19,2020-09-21,2020-09-21,[''],,no,no
589169,Gallinula,chloropus,,Common Moorhen,Jorge Leitão,Netherlands,"Dommeilplantsoen, near Genneper Parken, Eindhoven, Noord-Brabant",51.4269,5.4752,20,"call, juvenile",//www.xeno-canto.org/589169,//www.xeno-canto.org/589169/download,XC589169-2020.09.12_11.17_01.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC589169-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC589169-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC589169-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC589169-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,B,0:41,11:17,2020-09-12,2020-09-17,[''],Wind in the trees,yes,no
588960,Gallinula,chloropus,,Common Moorhen,Tom Jordan,United Kingdom,"Great Britain (near  Winchester), Hampshire, England",51.056,-1.322,40,"flight call, nocturnal flight call",//www.xeno-canto.org/588960,//www.xeno-canto.org/588960/download,XC588960-Moorhen2347.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/OBMPGPZUVU/ffts/XC588960-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/OBMPGPZUVU/ffts/XC588960-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/OBMPGPZUVU/ffts/XC588960-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/OBMPGPZUVU/ffts/XC588960-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,B,0:04,23:47,2020-06-21,2020-09-16,[''],,unknown,unknown
588426,Gallinula,chloropus,,Common Moorhen,Craig Brookes,United Kingdom,"Great Britain (near  Malmesbury), Wiltshire, England",51.5762,-2.0962,80,"adult, nocturnal flight call",//www.xeno-canto.org/588426,//www.xeno-canto.org/588426/download,XC588426-mh130920.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/DPIOYNLZQT/ffts/XC588426-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/DPIOYNLZQT/ffts/XC588426-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/DPIOYNLZQT/ffts/XC588426-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/DPIOYNLZQT/ffts/XC588426-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,B,0:05,01:49,2020-09-14,2020-09-14,[''],,no,no
587998,Gallinula,chloropus,,Common Moorhen,Jordi Calvet,Spain,"Estany d'Ivars-Vilasana, El Pla d'Urgell, Catalunya",41.681,0.9549,240,"adult, alarm call, call, sex uncertain",//www.xeno-canto.org/587998,//www.xeno-canto.org/587998/download,XC587998-GALCHL020920-T005 (3).mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/PNYKOPBQBQ/ffts/XC587998-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/PNYKOPBQBQ/ffts/XC587998-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/PNYKOPBQBQ/ffts/XC587998-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/PNYKOPBQBQ/ffts/XC587998-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,B,0:09,10:00,2020-09-02,2020-09-12,"['Streptopelia decaocto', 'Rallus aquaticus']",,yes,no
