"","name","aci","h","m","ndsi","q","adi","aei","bi"
"x34","C:/Users/Anthony/Documents/GitHub/Personal_Projects/bird_detection_audio/richfield_birds_split/Common Buzzard/xc554730_start_5_0.wav",154.677561719143,0.807692651190801,0.00596049504325156,0.841685327586363,18.9131049099258,1.923424,0.438805,14.7146583183559
"x35","C:/Users/Anthony/Documents/GitHub/Personal_Projects/bird_detection_audio/richfield_birds_split/Common Buzzard/xc554730_start_5_15.wav",156.576405974003,0.843630027042875,0.00498705817698355,0.800907736564202,6.54659783410317,2.12303,0.282029,12.4312194174755
"x36","C:/Users/Anthony/Documents/GitHub/Personal_Projects/bird_detection_audio/richfield_birds_split/Common Buzzard/xc554730_start_5_30.wav",155.000436571699,0.841459902476866,0.00452251949153838,0.872114901528163,24.6810835419986,1.990791,0.369885,13.2266904949919
"x37","C:/Users/Anthony/Documents/GitHub/Personal_Projects/bird_detection_audio/richfield_birds_split/Common Buzzard/xc554730_start_5_45.wav",159.085304062455,0.815258928873825,0.00568071494493093,0.934531014308014,18.0374307531067,2.005213,0.33963,16.5513279692255
"x38","C:/Users/Anthony/Documents/GitHub/Personal_Projects/bird_detection_audio/richfield_birds_split/Common Buzzard/xc555949_start_0_0.wav",155.374464329251,0.774761175618683,0.00453095868512986,0.967511854154631,37.469226628387,1.699766,0.583535,13.518067120622
"x39","C:/Users/Anthony/Documents/GitHub/Personal_Projects/bird_detection_audio/richfield_birds_split/Common Buzzard/xc555949_start_0_15.wav",155.384276001607,0.868174618665138,0.00501701586398391,0.932056911241441,15.8134040136312,2.2452,0.190002,10.7139722583085
"x40","C:/Users/Anthony/Documents/GitHub/Personal_Projects/bird_detection_audio/richfield_birds_split/Common Buzzard/xc555949_start_0_30.wav",154.805056964025,0.78185961823108,0.00483985969004639,0.948772396401584,28.6245841913512,1.512576,0.650071,13.6528364065861
"x41","C:/Users/Anthony/Documents/GitHub/Personal_Projects/bird_detection_audio/richfield_birds_split/Common Buzzard/xc555949_start_0_45.wav",154.396210903785,0.83410397791911,0.00470777038368472,0.96968772821271,78.176400476758,1.107018,0.761704,12.6021410896627
"x42","C:/Users/Anthony/Documents/GitHub/Personal_Projects/bird_detection_audio/richfield_birds_split/Common Buzzard/xc555949_start_1_0.wav",152.354604439396,0.798216952066389,0.00481987769001376,0.956825398007125,31.5303077889449,1.227335,0.73723,13.4028588401234
"x43","C:/Users/Anthony/Documents/GitHub/Personal_Projects/bird_detection_audio/richfield_birds_split/Common Buzzard/xc564929_left_start_0_0.wav",155.861023694283,0.867987446065011,0.0314387152759016,0.828003052015631,23.3425692695214,2.091454,0.323695,8.01560883588194
"x44","C:/Users/Anthony/Documents/GitHub/Personal_Projects/bird_detection_audio/richfield_birds_split/Common Buzzard/xc566788_left_start_0_0.wav",152.481362149048,0.885558594278975,0.0028516759639587,0.814464041355612,8.37085465226455,1.683662,0.591489,6.03594162150232
"1","C:/Users/Anthony/Documents/GitHub/Personal_Projects/bird_detection_audio/richfield_birds_split/Common Buzzard/xc566788_left_start_0_15.wav",151.524668161127,0.897782083601391,0.0028131909498943,0.703725809861896,NA,1.783886,0.545583,5.68785655356486
"11","C:/Users/Anthony/Documents/GitHub/Personal_Projects/bird_detection_audio/richfield_birds_split/Common Buzzard/xc566788_left_start_0_30.wav",151.41276532851,0.896851194581095,0.00288324060440239,0.761888809067455,NA,1.594621,0.624184,6.31950097183008
"x45","C:/Users/Anthony/Documents/GitHub/Personal_Projects/bird_detection_audio/richfield_birds_split/Common Buzzard/xc566788_left_start_0_45.wav",152.144195538498,0.892543339300298,0.00296128670614812,0.531934311071909,0.529951180894577,1.669991,0.595837,7.06385349690191
"x46","C:/Users/Anthony/Documents/GitHub/Personal_Projects/bird_detection_audio/richfield_birds_split/Common Buzzard/xc576520_start_0_0.wav",163.461107644601,0.787635805004488,0.00111076836005817,0.91358474362979,46.5810628540601,2.138226,0.315307,9.33096171812245
"x47","C:/Users/Anthony/Documents/GitHub/Personal_Projects/bird_detection_audio/richfield_birds_split/Common Buzzard/xc581056_left_start_0_0.wav",171.189420995427,0.650899575631474,0.00149672989972102,0.988877927185026,3.94318978818909,1.966039,0.428421,12.5979655846473
"x48","C:/Users/Anthony/Documents/GitHub/Personal_Projects/bird_detection_audio/richfield_birds_split/Common Buzzard/xc581056_left_start_0_15.wav",172.399782000876,0.668661502501431,0.00186098257558415,0.987937474192698,24.0319170157591,2.041494,0.392281,12.1769005748114
"x49","C:/Users/Anthony/Documents/GitHub/Personal_Projects/bird_detection_audio/richfield_birds_split/Common Buzzard/xc581056_left_start_0_30.wav",162.341064974278,0.669262552497412,0.00162268953515083,0.984629503836846,2.56722778606435,2.198613,0.248054,11.7366331569713
"x50","C:/Users/Anthony/Documents/GitHub/Personal_Projects/bird_detection_audio/richfield_birds_split/Common Buzzard/xc581056_left_start_0_45.wav",162.991303180531,0.660310389570001,0.00144842422083637,0.986977754760912,6.17552724077328,2.166561,0.291747,13.5595386399227
